loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,dtir1
cf,Female,nopre,type2,p3,l1,nopc,b/c,136500,3.99,0.8231,3557.42,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,2820.0,CRIF,856.0,EXP,45-54,to_inst,76.68539326,North,direct,40.0
,Male,nopre,type1,p3,l1,nopc,nob/c,316500,4.125,0.9713,4437.5,240.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,7500.0,EXP,632.0,CIB,35-44,to_inst,73.94859813,North,direct,35.0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,426500,4.625,0.2665,4822.2,360.0,not_neg,not_int,not_lpsm,578000.0,sb,ir,home,2U,11580.0,EXP,737.0,CIB,25-34,not_inst,73.78892734,North,direct,42.0
cf,Joint,nopre,type2,p1,l1,nopc,b/c,216500,4.5,1.231,2127.0,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,7200.0,CIB,682.0,EXP,25-34,to_inst,90.96638655,North,direct,44.0
ncf,Joint,nopre,type1,p1,l1,nopc,nob/c,716500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,10320.0,EQUI,530.0,EXP,65-74,to_inst,,North,direct,
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,386500,3.625,0.568,5418.75,240.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,28140.0,EXP,852.0,EXP,35-44,not_inst,63.56907895,North,direct,12.0
cf,Male,pre,type3,p4,l1,nopc,nob/c,546500,3.375,-0.5007,0.0,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,,EXP,598.0,CIB,25-34,not_inst,97.9390681,south,direct,
cf,Male,nopre,type1,p1,l1,nopc,nob/c,506500,4.375,0.559,1890.0,360.0,not_neg,not_int,not_lpsm,678000.0,sb,pr,home,1U,12840.0,EXP,782.0,CIB,55-64,not_inst,74.70501475,North,direct,49.0
cf,Sex Not Available,pre,type2,p3,l1,nopc,b/c,436500,3.125,0.1124,4240.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,4320.0,CIB,527.0,CIB,55-64,to_inst,72.99331104,south,direct,48.0
cf,Joint,nopre,type2,p3,l1,nopc,b/c,166500,,,,240.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5760.0,EQUI,701.0,EXP,55-64,to_inst,,North,direct,
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,236500,2.99,0.3987,6867.04,180.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,5100.0,CIB,535.0,CIB,55-64,to_inst,46.55511811,south,direct,34.0
cf,Joint,pre,type1,p4,l1,nopc,nob/c,356500,3.375,-0.4473,1502.75,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,3960.0,EXP,865.0,EXP,65-74,not_inst,50.35310734,North,direct,33.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,236500,,,,324.0,not_neg,not_int,not_lpsm,908000.0,sb,pr,home,1U,3120.0,CRIF,746.0,CIB,65-74,to_inst,26.04625551,North-East,direct,31.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,186500,3.5,0.7934,5606.25,180.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,8160.0,CIB,500.0,CIB,55-64,to_inst,69.58955224,south,direct,8.0
ncf,Male,pre,type1,p1,l1,nopc,nob/c,266500,3.75,0.8956,5335.0,240.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,7620.0,CRIF,550.0,CIB,35-44,to_inst,95.86330935,south,direct,21.0
cf,Male,pre,type1,p4,l1,nopc,nob/c,106500,,,,180.0,neg_amm,not_int,not_lpsm,128000.0,sb,pr,home,1U,2880.0,CIB,607.0,CIB,55-64,to_inst,83.203125,North,direct,33.0
cf,Sex Not Available,nopre,type3,p1,l1,nopc,nob/c,276500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,11100.0,EQUI,823.0,EXP,65-74,to_inst,,south,direct,
cf,Female,nopre,type1,p4,l1,nopc,nob/c,356500,,,,360.0,not_neg,not_int,lpsm,728000.0,sb,ir,home,1U,6540.0,EXP,615.0,CIB,>74,not_inst,48.96978022,central,direct,34.0
cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,506500,4.375,0.0907,12590.8,360.0,not_neg,not_int,not_lpsm,638000.0,sb,pr,home,1U,6720.0,EXP,735.0,EXP,25-34,to_inst,79.38871473,south,direct,30.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,726500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,15240.0,EQUI,782.0,EXP,45-54,not_inst,,North,direct,
cf,Female,nopre,type1,p1,l1,nopc,nob/c,256500,3.5,0.2444,3776.25,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,5700.0,CIB,527.0,CIB,25-34,not_inst,95.70895522,North,direct,20.0
cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,326500,4.5,0.0963,2533.0,360.0,neg_amm,not_int,not_lpsm,468000.0,sb,pr,home,1U,7440.0,CIB,802.0,EXP,65-74,to_inst,69.76495726,south,direct,40.0
cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,686500,4.75,0.8083,650.0,360.0,not_neg,not_int,not_lpsm,738000.0,sb,pr,home,1U,8580.0,CRIF,816.0,EXP,55-64,to_inst,93.02168022,south,direct,42.0
cf,Joint,pre,type1,p3,l1,nopc,nob/c,436500,3.75,0.2714,13213.16,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,4260.0,EXP,895.0,EXP,>74,to_inst,70.63106796,North,direct,43.0
cf,Male,pre,type1,p1,l1,nopc,nob/c,196500,4.375,0.1445,2398.0,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,2400.0,CRIF,693.0,CIB,25-34,to_inst,90.13761468,North,direct,47.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,376500,,,,240.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7260.0,EQUI,778.0,EXP,35-44,to_inst,,south,direct,
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,726500,4.125,0.4183,0.0,360.0,not_neg,not_int,not_lpsm,968000.0,sb,pr,home,1U,10500.0,CRIF,873.0,EXP,45-54,not_inst,75.05165289,central,direct,36.0
cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,196500,3.625,0.6712,4015.81,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,5520.0,CIB,807.0,EXP,45-54,to_inst,68.22916667,south,direct,30.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,236500,3.5,-0.0056,1456.7,360.0,not_neg,not_int,not_lpsm,968000.0,sb,pr,home,1U,6120.0,CIB,742.0,CIB,65-74,not_inst,24.43181818,North,direct,29.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,526500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7620.0,EQUI,574.0,EXP,35-44,not_inst,,North,direct,
cf,Male,nopre,type1,p4,l1,nopc,nob/c,236500,3.875,0.453,732.5,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,7800.0,CIB,624.0,CIB,35-44,not_inst,91.66666667,south,direct,10.0
cf,Male,pre,type1,p1,l1,nopc,nob/c,566500,4.5,0.307,1025.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,6060.0,CRIF,833.0,CIB,25-34,not_inst,94.73244147,North,direct,49.0
ncf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,446500,4.625,0.6117,6850.01,360.0,not_neg,not_int,not_lpsm,698000.0,sb,pr,home,1U,6120.0,CRIF,752.0,CIB,55-64,to_inst,63.96848138,south,direct,44.0
cf,Male,nopre,type1,p3,l1,nopc,nob/c,486500,,,,360.0,neg_amm,not_int,not_lpsm,638000.0,sb,pr,home,1U,9180.0,CRIF,874.0,CIB,55-64,to_inst,76.2539185,North,direct,45.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,386500,4.99,0.641,4889.75,360.0,neg_amm,not_int,not_lpsm,488000.0,sb,pr,home,1U,10500.0,CIB,832.0,CIB,55-64,to_inst,79.20081967,North,direct,37.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,386500,3.75,0.0526,4575.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,8520.0,CIB,776.0,EXP,65-74,to_inst,65.73129252,North,direct,17.0
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,236500,3.625,0.0679,1888.55,360.0,not_neg,int_only,not_lpsm,358000.0,sb,pr,home,1U,5100.0,EXP,587.0,CIB,35-44,to_inst,66.06145251,south,direct,23.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,126500,4.25,0.9563,1937.5,180.0,not_neg,not_int,not_lpsm,158000.0,sb,pr,home,1U,2820.0,CRIF,594.0,CIB,55-64,to_inst,80.06329114,North,direct,41.0
cf,Female,pre,type1,p4,l1,nopc,nob/c,326500,3.625,-0.1994,966.3,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,4440.0,CRIF,627.0,EXP,45-54,not_inst,68.30543933,North,direct,44.0
cf,Sex Not Available,pre,type1,p1,l2,nopc,nob/c,386500,3.625,-0.143,4383.4,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,7020.0,CRIF,563.0,CIB,25-34,to_inst,80.85774059,south,direct,23.0
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,226500,3.99,0.3761,4007.5,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,7620.0,EXP,734.0,CIB,55-64,to_inst,78.64583333,south,direct,41.0
cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,286500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3840.0,EQUI,565.0,EXP,65-74,to_inst,,south,direct,
cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,346500,,,,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,11520.0,CRIF,862.0,EXP,55-64,to_inst,80.95794393,south,direct,35.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,686500,,,,360.0,not_neg,int_only,not_lpsm,1158000.0,sb,pr,home,1U,14400.0,EXP,648.0,CIB,35-44,not_inst,59.28324698,south,direct,20.0
cf,Male,nopre,type2,p1,l1,nopc,b/c,246500,4.25,1.4614,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5400.0,EXP,683.0,CIB,25-34,not_inst,95.54263566,North,direct,39.0
cf,Sex Not Available,pre,type3,p4,l1,nopc,nob/c,406500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0.0,EQUI,668.0,EXP,35-44,to_inst,,south,direct,
cf,Female,nopre,type1,p4,l1,nopc,nob/c,316500,3.99,0.3223,156.04,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,7740.0,CIB,852.0,CIB,45-54,not_inst,90.94827586,North,direct,18.0
cf,Male,nopre,type2,p1,l1,nopc,b/c,116500,5.75,1.9228,1613.18,360.0,not_neg,not_int,not_lpsm,128000.0,sb,pr,home,1U,6000.0,EXP,770.0,CIB,25-34,to_inst,91.015625,North,direct,43.0
cf,Male,nopre,type2,p3,l1,nopc,b/c,256500,3.75,0.606,4495.97,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,4800.0,CRIF,684.0,CIB,35-44,to_inst,83.27922078,south,direct,39.0
cf,Male,nopre,type1,p3,l1,nopc,nob/c,106500,3.375,0.705,2868.5,180.0,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1U,3600.0,CRIF,739.0,CIB,55-64,to_inst,71.95945946,North,direct,37.0
cf,Male,nopre,type1,p4,l2,nopc,nob/c,256500,,,,300.0,neg_amm,not_int,not_lpsm,298000.0,sb,pr,home,1U,2820.0,CRIF,743.0,CIB,35-44,to_inst,86.0738255,North,direct,47.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,,,,300.0,neg_amm,not_int,not_lpsm,,sb,ir,home,1U,15900.0,EQUI,663.0,EXP,35-44,not_inst,,south,direct,
cf,Male,nopre,type2,p4,l1,nopc,b/c,356500,2.875,0.1311,688.42,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,,CIB,605.0,CIB,25-34,not_inst,91.8814433,North,direct,
cf,Joint,nopre,type3,p4,l1,nopc,nob/c,596500,3.49,-0.298,0.0,360.0,neg_amm,not_int,not_lpsm,628000.0,sb,pr,home,1U,,CIB,788.0,EXP,35-44,not_inst,94.98407643,North,direct,
cf,Female,nopre,type1,p1,l1,nopc,nob/c,246500,,,,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5100.0,CRIF,608.0,CIB,25-34,to_inst,95.54263566,central,direct,45.0
cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,206500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4800.0,EQUI,801.0,EXP,55-64,to_inst,,south,direct,
cf,Male,nopre,type1,p4,l1,nopc,nob/c,106500,,,,156.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7740.0,EQUI,754.0,EXP,35-44,to_inst,,south,direct,
cf,Male,nopre,type1,p4,l1,nopc,nob/c,166500,4.75,1.2356,1150.0,240.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,4920.0,CRIF,659.0,EXP,45-54,to_inst,54.05844156,south,direct,37.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,336500,3.99,0.2289,295.0,336.0,neg_amm,not_int,not_lpsm,608000.0,sb,pr,home,1U,8640.0,CIB,589.0,CIB,35-44,to_inst,55.34539474,North,direct,36.0
cf,Joint,nopre,type2,p1,l1,nopc,b/c,316500,3.5,1.014,4728.49,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,4920.0,CIB,757.0,EXP,35-44,to_inst,96.49390244,central,direct,39.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,666500,4.75,1.2561,295.0,240.0,not_neg,not_int,not_lpsm,1438000.0,sb,pr,home,1U,12540.0,CIB,802.0,EXP,45-54,to_inst,46.34909597,North,direct,46.0
cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,166500,4.125,0.8909,5186.56,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,51420.0,CIB,887.0,EXP,<25,to_inst,88.56382979,south,direct,20.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,156500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2700.0,EQUI,643.0,EXP,55-64,to_inst,,south,direct,
cf,Joint,pre,type1,p1,l1,nopc,nob/c,136500,4.375,1.3845,1925.0,180.0,not_neg,not_int,not_lpsm,188000.0,sb,ir,home,1U,27900.0,CIB,863.0,EXP,35-44,to_inst,72.60638298,south,direct,10.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,256500,3.625,0.3111,,300.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,3480.0,CIB,638.0,EXP,55-64,to_inst,50.49212598,North,direct,41.0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,706500,,,,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,6780.0,CIB,815.0,CIB,25-34,to_inst,86.36919315,North,direct,59.0
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,286500,3.875,0.3233,6523.44,324.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,4740.0,EXP,539.0,EXP,45-54,to_inst,75.79365079,south,direct,38.0
cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,296500,4.99,0.322,1150.0,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,4620.0,CRIF,572.0,CIB,35-44,to_inst,78.43915344,south,direct,48.0
cf,Joint,nopre,type2,p1,l1,nopc,b/c,546500,4.0,1.3079,1284.93,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,6000.0,EXP,730.0,EXP,35-44,not_inst,96.21478873,south,direct,49.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,256500,3.625,0.347,0.0,240.0,not_neg,not_int,not_lpsm,858000.0,sb,pr,home,1U,9720.0,CIB,503.0,EXP,45-54,not_inst,29.8951049,south,direct,36.0
cf,Male,nopre,type2,p3,l1,nopc,b/c,696500,3.625,0.7284,6863.05,360.0,not_neg,not_int,not_lpsm,918000.0,sb,pr,home,1U,11220.0,CIB,574.0,EXP,55-64,to_inst,75.87145969,south,direct,43.0
cf,Joint,nopre,type1,p3,l2,nopc,nob/c,276500,,,,300.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,2160.0,EQUI,597.0,EXP,>74,to_inst,,North-East,direct,
,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,256500,4.125,0.4841,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3720.0,EXP,863.0,CIB,25-34,not_inst,99.41860465,south,direct,36.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,216500,3.625,0.1893,6373.0,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,6420.0,CIB,857.0,EXP,55-64,to_inst,60.47486034,North,direct,26.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,126500,3.99,0.644,1150.0,180.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,3480.0,EXP,741.0,CIB,45-54,not_inst,45.50359712,North,direct,38.0
cf,Male,pre,type1,p4,l1,nopc,nob/c,356500,4.0,0.509,0.0,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,4560.0,CIB,558.0,CIB,35-44,not_inst,94.31216931,south,direct,45.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,366500,3.99,0.4025,1250.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,4980.0,CRIF,818.0,EXP,65-74,to_inst,72.14566929,North,direct,40.0
cf,Male,pre,type2,p3,l1,nopc,b/c,256500,3.99,1.2006,2465.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,3600.0,EXP,630.0,CIB,25-34,to_inst,86.0738255,North,direct,43.0
ncf,Male,nopre,type3,p4,l1,nopc,nob/c,776500,3.25,-0.7284,7663.49,360.0,not_neg,not_int,not_lpsm,878000.0,sb,pr,home,1U,,CRIF,567.0,CIB,35-44,not_inst,88.43963554,south,direct,
ncf,Male,nopre,type1,p4,l1,nopc,nob/c,666500,,,,360.0,not_neg,not_int,not_lpsm,2208000.0,sb,pr,home,1U,49740.0,EXP,622.0,CIB,55-64,to_inst,30.18568841,North,direct,44.0
cf,Sex Not Available,nopre,type3,p1,l1,nopc,nob/c,316500,3.375,-0.2285,5183.75,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,7920.0,CIB,631.0,EXP,>74,to_inst,99.52830189,south,direct,23.0
cf,Male,nopre,type1,p4,l2,nopc,nob/c,206500,,,,240.0,neg_amm,not_int,not_lpsm,248000.0,sb,pr,home,1U,7500.0,CRIF,721.0,CIB,25-34,to_inst,83.26612903,North,direct,16.0
cf,Joint,pre,type1,p1,l2,nopc,nob/c,316500,4.56,0.9807,10206.25,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,20760.0,CIB,677.0,EXP,25-34,to_inst,88.40782123,North,direct,9.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,546500,4.25,0.1864,679.37,360.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,7920.0,CIB,895.0,CIB,35-44,not_inst,69.35279188,North,direct,36.0
cf,Female,nopre,type2,p3,l1,nopc,b/c,96500,3.99,1.2183,2887.76,180.0,neg_amm,not_int,not_lpsm,128000.0,sb,pr,home,1U,3240.0,CIB,605.0,CIB,45-54,to_inst,75.390625,North,direct,47.0
cf,Male,nopre,type1,p3,l1,nopc,nob/c,136500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,1440.0,EQUI,898.0,EXP,65-74,to_inst,,central,direct,
cf,Male,nopre,type3,p3,l1,nopc,nob/c,276500,3.0,-0.4515,2016.28,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,4980.0,CRIF,636.0,CIB,45-54,not_inst,61.71875,south,direct,37.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,276500,3.625,0.2904,9084.38,360.0,not_neg,int_only,not_lpsm,888000.0,sb,pr,home,1U,5820.0,EXP,780.0,EXP,45-54,to_inst,31.13738739,North,direct,35.0
cf,Male,nopre,type3,p1,l1,nopc,nob/c,296500,3.375,-0.3358,681.15,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,3300.0,CIB,596.0,CIB,25-34,not_inst,93.23899371,North,direct,42.0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,386500,4.5,0.723,0.0,360.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,4920.0,CIB,789.0,EXP,25-34,not_inst,97.11055276,North,direct,49.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,296500,3.75,0.62,3062.5,240.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,9540.0,CRIF,852.0,CIB,45-54,to_inst,58.36614173,central,direct,31.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,326500,3.625,0.3813,0.0,240.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,5940.0,EXP,611.0,CIB,45-54,not_inst,74.543379,south,direct,36.0
cf,Female,nopre,type2,p1,l1,nopc,b/c,296500,4.125,1.354,0.0,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,5700.0,EXP,793.0,EXP,25-34,not_inst,96.26623377,North,direct,45.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,426500,3.375,-0.1057,1058.36,324.0,neg_amm,not_int,not_lpsm,848000.0,sb,pr,home,1U,5100.0,EXP,731.0,EXP,45-54,not_inst,50.29481132,North,direct,48.0
cf,Female,nopre,type1,p1,l1,nopc,nob/c,436500,3.625,0.0847,2292.52,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,6180.0,CRIF,859.0,CIB,35-44,not_inst,93.26923077,south,direct,34.0
cf,Female,pre,type1,p3,l1,nopc,nob/c,246500,3.5,-0.2728,0.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,6060.0,CIB,535.0,CIB,65-74,not_inst,48.52362205,North,direct,28.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,296500,3.875,-0.1566,1250.0,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,8700.0,CIB,652.0,CIB,35-44,to_inst,62.0292887,North,direct,44.0
